section,name,value
summary,folds,27
summary,selection_metric,sharpe_ratio
summary,first_train_start,2010-01-04
summary,last_test_end,2026-03-05
test_mean,final_equity,1.0199598269
test_median,final_equity,0.9930653936
test_std,final_equity,0.1466060377
train_mean,final_equity,1.2479860728
train_median,final_equity,1.1498106351
train_std,final_equity,0.2995887855
test_mean,annualized_return,0.0626817073
test_median,annualized_return,-0.0139309192
test_std,annualized_return,0.3275148370
bootstrap_ci_lower,annualized_return,-0.0505353594
bootstrap_ci_upper,annualized_return,0.1949609496
bootstrap_p_positive,annualized_return,0.8389000000
train_mean,annualized_return,0.1099821874
train_median,annualized_return,0.0724410406
train_std,annualized_return,0.1286190464
test_mean,max_drawdown,-0.1296171210
test_median,max_drawdown,-0.1106103893
test_std,max_drawdown,0.0953439121
train_mean,max_drawdown,-0.2044161539
train_median,max_drawdown,-0.1544193622
train_std,max_drawdown,0.1112779511
test_mean,sharpe_ratio,0.2008340660
test_median,sharpe_ratio,-0.0181587047
test_std,sharpe_ratio,1.5135500498
train_mean,sharpe_ratio,0.5852867328
train_median,sharpe_ratio,0.4741385973
train_std,sharpe_ratio,0.5630171310
test_mean,calmar_ratio,1.6145121541
test_median,calmar_ratio,-0.1568462047
test_std,calmar_ratio,4.5983227503
train_mean,calmar_ratio,0.5658648926
train_median,calmar_ratio,0.4439816799
train_std,calmar_ratio,0.6271634184
test_mean,monthly_win_rate,0.4173280423
test_median,monthly_win_rate,0.3750000000
test_std,monthly_win_rate,0.2692928081
train_mean,monthly_win_rate,0.4373789174
train_median,monthly_win_rate,0.3846153846
train_std,monthly_win_rate,0.1858721774
test_mean,max_consecutive_losing_months,1.9629629630
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.2012796104
train_mean,max_consecutive_losing_months,2.5555555556
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.9938079900
test_mean,average_turnover,0.4962228101
test_median,average_turnover,0.5000000000
test_std,average_turnover,0.2228255743
train_mean,average_turnover,0.4330460589
train_median,average_turnover,0.4160000000
train_std,average_turnover,0.1503470112
test_mean,total_transaction_cost,0.0031413580
test_median,total_transaction_cost,0.0030000000
test_std,total_transaction_cost,0.0015282011
train_mean,total_transaction_cost,0.0108043210
train_median,total_transaction_cost,0.0100000000
train_std,total_transaction_cost,0.0037444735
test_mean,equal_weight_final_equity,1.0416787024
test_median,equal_weight_final_equity,1.0400224206
test_std,equal_weight_final_equity,0.1280066800
train_mean,equal_weight_final_equity,1.1070726684
train_median,equal_weight_final_equity,1.0284015905
train_std,equal_weight_final_equity,0.2988946510
test_mean,excess_return_vs_equal_weight,-0.0182991159
test_median,excess_return_vs_equal_weight,-0.0080392081
test_std,excess_return_vs_equal_weight,0.0968411154
train_mean,excess_return_vs_equal_weight,0.1434078551
train_median,excess_return_vs_equal_weight,0.1025382283
train_std,excess_return_vs_equal_weight,0.1228904351
test_mean,benchmark_final_equity,1.0306296914
test_median,benchmark_final_equity,1.0113590964
test_std,benchmark_final_equity,0.1525300647
train_mean,benchmark_final_equity,1.0589989737
train_median,benchmark_final_equity,1.0085624343
train_std,benchmark_final_equity,0.2568048123
test_mean,excess_return_vs_benchmark,-0.0043118263
test_median,excess_return_vs_benchmark,-0.0300844288
test_std,excess_return_vs_benchmark,0.1108087518
train_mean,excess_return_vs_benchmark,0.1894162496
train_median,excess_return_vs_benchmark,0.1817994009
train_std,excess_return_vs_benchmark,0.1319872038
selection_count,ret60_ret120_top3_riskoff0_riskctrl0_mscore1,4
selection_count,ret60_ret120_top3_riskoff0_riskctrl0_mscore0,3
selection_count,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,3
selection_count,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_ret120_top3_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_ret5_top3_riskoff0_riskctrl0_mscore0,2
selection_count,ret60_ret5_top8_riskoff0_riskctrl0_mscore1,2
selection_count,ret60_top3_riskoff0_riskctrl0_mscore1,2
selection_count,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1
selection_count,ret60_ret120_ret5_top8_riskoff0_riskctrl0_mscore1,1
selection_count,ret60_ret120_top3_riskoff0p2_riskctrl0_mscore1,1
selection_count,ret60_ret120_top3_riskoff0p5_riskctrl0_mscore1,1
selection_count,ret60_ret120_top8_riskoff0_riskctrl1_mscore0,1
selection_count,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,1
selection_count,ret60_top5_riskoff0_riskctrl0_mscore1,1
