section,name,value
summary,folds,4
summary,selection_metric,composite
summary,first_train_start,2021-12-13
summary,last_test_end,2026-03-24
test_mean,final_equity,1.0585623000
test_median,final_equity,1.0596830200
test_std,final_equity,0.0510418841
train_mean,final_equity,0.9920457531
train_median,final_equity,0.9687094183
train_std,final_equity,0.0493113062
test_mean,annualized_return,0.1242455147
test_median,annualized_return,0.1260045085
test_std,annualized_return,0.1089865660
bootstrap_ci_lower,annualized_return,0.0160443104
bootstrap_ci_upper,annualized_return,0.2324467190
bootstrap_p_positive,annualized_return,1.0000000000
train_mean,annualized_return,-0.0042926800
train_median,annualized_return,-0.0158007473
train_std,annualized_return,0.0244813100
test_mean,max_drawdown,-0.1187321449
test_median,max_drawdown,-0.1159407164
test_std,max_drawdown,0.0436358573
train_mean,max_drawdown,-0.1277859248
train_median,max_drawdown,-0.1277859248
train_std,max_drawdown,0.0225686287
test_mean,sharpe_ratio,0.7863481169
test_median,sharpe_ratio,0.6349253092
test_std,sharpe_ratio,0.6396675947
train_mean,sharpe_ratio,-0.0200677491
train_median,sharpe_ratio,-0.0949991808
train_std,sharpe_ratio,0.2508298369
test_mean,calmar_ratio,1.1789106648
test_median,calmar_ratio,0.8591880660
test_std,calmar_ratio,1.1406999805
train_mean,calmar_ratio,-0.0565882132
train_median,calmar_ratio,-0.1278655437
train_std,calmar_ratio,0.1825931892
test_mean,monthly_win_rate,0.3839285714
test_median,monthly_win_rate,0.2857142857
test_std,monthly_win_rate,0.1912882615
train_mean,monthly_win_rate,0.1746153846
train_median,monthly_win_rate,0.1953846154
train_std,monthly_win_rate,0.0633717313
test_mean,max_consecutive_losing_months,1.5000000000
test_median,max_consecutive_losing_months,1.5000000000
test_std,max_consecutive_losing_months,0.5000000000
train_mean,max_consecutive_losing_months,2.0000000000
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.0000000000
test_mean,average_turnover,0.6071428571
test_median,average_turnover,0.6666666667
test_std,average_turnover,0.1030982624
train_mean,average_turnover,0.3572307692
train_median,average_turnover,0.3564615385
train_std,average_turnover,0.0986505398
test_mean,total_transaction_cost,0.0037500000
test_median,total_transaction_cost,0.0040000000
test_std,total_transaction_cost,0.0004330127
train_mean,total_transaction_cost,0.0087500000
train_median,total_transaction_cost,0.0091000000
train_std,total_transaction_cost,0.0028926631
test_mean,equal_weight_final_equity,1.0880573558
test_median,equal_weight_final_equity,1.0820518812
test_std,equal_weight_final_equity,0.1494842637
train_mean,equal_weight_final_equity,0.8904112450
train_median,equal_weight_final_equity,0.8662387692
train_std,equal_weight_final_equity,0.1450788740
test_mean,excess_return_vs_equal_weight,-0.0083894891
test_median,excess_return_vs_equal_weight,0.0271719405
test_std,excess_return_vs_equal_weight,0.1395448904
train_mean,excess_return_vs_equal_weight,0.1369442460
train_median,excess_return_vs_equal_weight,0.1319383644
train_std,excess_return_vs_equal_weight,0.1452824567
test_mean,benchmark_final_equity,1.0683371190
test_median,benchmark_final_equity,1.0660766498
test_std,benchmark_final_equity,0.0934819807
train_mean,benchmark_final_equity,0.8647828482
train_median,benchmark_final_equity,0.8805975423
train_std,benchmark_final_equity,0.1745972595
test_mean,excess_return_vs_benchmark,-0.0013832368
test_median,excess_return_vs_benchmark,0.0278058383
test_std,excess_return_vs_benchmark,0.0985134018
train_mean,excess_return_vs_benchmark,0.1894500242
train_median,excess_return_vs_benchmark,0.1444514367
train_std,excess_return_vs_benchmark,0.2153962182
selection_count,ret60_ret5_top5_riskoff0,4
