section,name,value
summary,folds,11
summary,selection_metric,composite
summary,first_train_start,2014-02-21
summary,last_test_end,2021-12-07
test_mean,final_equity,1.0239470348
test_median,final_equity,1.0196279613
test_std,final_equity,0.1290360731
train_mean,final_equity,1.3817969703
train_median,final_equity,1.2436221136
train_std,final_equity,0.3427901432
test_mean,annualized_return,0.0659229890
test_median,annualized_return,0.0399645635
test_std,annualized_return,0.2690992807
bootstrap_ci_lower,annualized_return,-0.0858766925
bootstrap_ci_upper,annualized_return,0.2316743305
bootstrap_p_positive,annualized_return,0.7898000000
train_mean,annualized_return,0.1669863250
train_median,annualized_return,0.1154197799
train_std,annualized_return,0.1446098444
test_mean,max_drawdown,-0.1257617356
test_median,max_drawdown,-0.1074787136
test_std,max_drawdown,0.0646355521
train_mean,max_drawdown,-0.2449720784
train_median,max_drawdown,-0.1811936132
train_std,max_drawdown,0.1238635644
test_mean,sharpe_ratio,0.2280199611
test_median,sharpe_ratio,0.7144696950
test_std,sharpe_ratio,1.0694493317
train_mean,sharpe_ratio,0.7484692440
train_median,sharpe_ratio,0.6583806780
train_std,sharpe_ratio,0.5024661117
test_mean,calmar_ratio,0.9424576622
test_median,calmar_ratio,1.0340219917
test_std,calmar_ratio,2.6436257675
train_mean,calmar_ratio,0.7216782454
train_median,calmar_ratio,0.6365511708
train_std,calmar_ratio,0.6708507700
test_mean,monthly_win_rate,0.3685064935
test_median,monthly_win_rate,0.4285714286
test_std,monthly_win_rate,0.2352160130
train_mean,monthly_win_rate,0.4363636364
train_median,monthly_win_rate,0.3846153846
train_std,monthly_win_rate,0.1434505577
test_mean,max_consecutive_losing_months,1.8181818182
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.2662171161
train_mean,max_consecutive_losing_months,2.3636363636
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.4810456929
test_mean,average_turnover,0.7506493506
test_median,average_turnover,0.8500000000
test_std,average_turnover,0.2526999396
train_mean,average_turnover,0.6091608392
train_median,average_turnover,0.5333333333
train_std,average_turnover,0.1688988796
test_mean,total_transaction_cost,0.0047636364
test_median,total_transaction_cost,0.0051000000
test_std,total_transaction_cost,0.0017688925
train_mean,total_transaction_cost,0.0151666667
train_median,total_transaction_cost,0.0133333333
train_std,total_transaction_cost,0.0045952545
test_mean,equal_weight_final_equity,1.0339340504
test_median,equal_weight_final_equity,1.0357675025
test_std,equal_weight_final_equity,0.1327995059
train_mean,equal_weight_final_equity,1.1427096166
train_median,equal_weight_final_equity,1.0912958564
train_std,equal_weight_final_equity,0.2993634789
test_mean,excess_return_vs_equal_weight,-0.0039739531
test_median,excess_return_vs_equal_weight,0.0283050999
test_std,excess_return_vs_equal_weight,0.0957278514
train_mean,excess_return_vs_equal_weight,0.2231859159
train_median,excess_return_vs_equal_weight,0.1887459388
train_std,excess_return_vs_equal_weight,0.1438303560
test_mean,benchmark_final_equity,1.0511168512
test_median,benchmark_final_equity,1.0727728984
test_std,benchmark_final_equity,0.1183200299
train_mean,benchmark_final_equity,1.2032091144
train_median,benchmark_final_equity,1.1511012529
train_std,benchmark_final_equity,0.1924427093
test_mean,excess_return_vs_benchmark,-0.0220020661
test_median,excess_return_vs_benchmark,-0.0148347497
test_std,excess_return_vs_benchmark,0.1020489933
train_mean,excess_return_vs_benchmark,0.1401833405
train_median,excess_return_vs_benchmark,0.1169387019
train_std,excess_return_vs_benchmark,0.1636818460
selection_count,ret60_m_accel_top3_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_top3_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_consistency_m_accel_top8_riskoff0_riskctrl1_mscore0,1
selection_count,ret60_m_accel_top3_riskoff0p5_riskctrl1_mscore0,1
selection_count,ret60_ret120_ret5_top3_riskoff0_riskctrl0_mscore0,1
selection_count,ret60_ret120_ret5_top3_riskoff0p3_riskctrl1_mscore0,1
selection_count,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1
