date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2022-06-24,2022-06-23,2022-07-21,19,27,-0.0056028982,-0.0361133802,-0.0048750151,0.0305104820,-0.0007278831,0.2000000000,0.2000000000,0.0002000000,false,false,0.0420434399,true,煤炭;汽车;美容护理
2022-07-22,2022-07-21,2022-08-18,19,27,0.0085783153,-0.0137156313,0.0071917747,0.0222939466,0.0013865406,0.2000000000,0.3681071393,0.0003681071,false,false,0.0740440180,true,电力设备;汽车;公用事业
2022-08-19,2022-08-18,2022-09-16,19,28,-0.0188229016,-0.0526105317,-0.0509477209,0.0337876302,0.0321248194,0.2000000000,0.3039555390,0.0003039555,false,false,0.0946746318,true,国防军工;机械设备;电力设备
2022-09-19,2022-09-16,2022-10-21,19,32,-0.0015535684,-0.0471257637,-0.0240833264,0.0455721953,0.0225297579,0.2000000000,0.4000000000,0.0004000000,false,false,-0.0972134975,false,煤炭;通信;公用事业
2022-10-24,2022-10-21,2022-11-18,19,25,-0.0060118501,0.0462931108,0.0540758266,-0.0523049609,-0.0600876766,0.2000000000,0.2504131546,0.0002504132,false,false,-0.1129130554,false,煤炭;综合;石油石化
2022-11-21,2022-11-18,2022-12-16,19,25,0.0170545823,0.0491094762,0.0263493293,-0.0320548939,-0.0092947470,0.2000000000,0.3492164978,0.0003492165,false,false,-0.0971876906,false,社会服务;综合;交通运输
2022-12-19,2022-12-16,2023-01-16,19,28,0.0042470399,0.0628631313,0.0356664886,-0.0586160914,-0.0314194488,0.2000000000,0.1983591258,0.0001983591,false,false,0.0070935879,true,综合;社会服务;医药生物
2023-01-17,2023-01-16,2023-02-20,19,34,0.0457594877,-0.0009064014,0.0344560272,0.0466658891,0.0113034605,0.8252864054,0.8982364995,0.0008982365,true,true,0.0850041175,true,社会服务;传媒;食品饮料
2023-02-21,2023-02-20,2023-03-20,19,27,-0.0670945608,-0.0495300831,-0.0418430639,-0.0175644777,-0.0252514969,0.7936035787,0.6623708332,0.0006623708,true,true,0.0704275351,true,食品饮料;社会服务;美容护理
2023-03-21,2023-03-20,2023-04-18,19,28,0.0585529800,0.0451112149,0.0252105875,0.0134417651,0.0333423925,0.5828609633,1.3764645420,0.0013764645,false,true,-0.0057165123,false,通信;计算机;传媒
2023-04-19,2023-04-18,2023-05-19,19,30,-0.0251757476,-0.0436458677,-0.0429302352,0.0184701201,0.0177544876,0.6088694771,0.4792871871,0.0004792872,true,true,0.0029569771,true,传媒;计算机;通信
2023-05-22,2023-05-19,2023-06-16,19,25,0.0299031851,-0.0015065515,0.0066119021,0.0314097366,0.0232912830,0.2000000000,0.4232362062,0.0004232362,false,false,-0.0528424182,false,传媒;建筑装饰;通信
2023-06-19,2023-06-16,2023-07-18,19,29,-0.0298781407,-0.0193263138,-0.0142431962,-0.0105518270,-0.0156349446,0.2000000000,0.0662986242,0.0000662986,false,false,0.0022073672,true,传媒;通信;银行
2023-07-19,2023-07-18,2023-08-15,19,27,-0.0093720982,-0.0011244212,-0.0094842256,-0.0082476770,0.0001121274,0.2000000000,0.3450191006,0.0003450191,false,false,-0.0741789193,false,汽车;通信;公用事业
2023-08-16,2023-08-15,2023-09-13,19,28,0.0011761373,-0.0213915508,-0.0120255590,0.0225676880,0.0132016963,0.2000000000,0.1393699339,0.0001393699,false,false,-0.0331003731,false,汽车;通信;非银金融
2023-09-14,2023-09-13,2023-10-19,19,35,-0.0098548829,-0.0535608583,-0.0525957732,0.0437059754,0.0427408903,0.2000000000,0.3409505642,0.0003409506,false,false,-0.0689296780,false,钢铁;轻工制造;非银金融
2023-10-20,2023-10-19,2023-11-16,19,27,0.0043638963,0.0175953330,0.0394420983,-0.0132314367,-0.0350782020,0.2000000000,0.4000000000,0.0004000000,false,false,-0.0932170866,false,煤炭;医药生物;银行
2023-11-17,2023-11-16,2023-12-14,19,27,-0.0039248490,-0.0605677579,-0.0302132648,0.0566429089,0.0262884158,0.2000000000,0.2718394530,0.0002718395,false,false,-0.0626648810,false,电子;煤炭;汽车
2023-12-15,2023-12-14,2024-01-12,19,28,-0.0196220502,-0.0171716718,-0.0311019876,-0.0024503784,0.0114799374,0.2000000000,0.4000000000,0.0004000000,false,false,-0.0835331525,false,传媒;医药生物;农林牧渔
2024-01-15,2024-01-12,2024-02-19,19,35,0.0043803740,0.0374559575,-0.0565571171,-0.0330755834,0.0609374911,0.2000000000,0.3547220017,0.0003547220,false,false,-0.0654066382,false,煤炭;综合;农林牧渔
2024-02-20,2024-02-19,2024-03-18,19,27,-0.0047185479,0.0564903177,0.0869431757,-0.0612088656,-0.0916617237,0.2000000000,0.1352617862,0.0001352618,false,false,-0.0827435139,false,煤炭;银行;家用电器
2024-03-19,2024-03-18,2024-04-17,19,29,0.0454064891,-0.0034184642,-0.0320695631,0.0488249533,0.0774760521,0.7328097611,0.5328097611,0.0005328098,true,true,0.0460135686,true,家用电器;煤炭;银行
2024-04-18,2024-04-17,2024-05-20,19,32,0.0167798153,0.0339402768,0.0505677941,-0.0171604614,-0.0337879787,0.7392479236,1.1374731956,0.0011374732,true,true,0.0484403585,true,有色金属;石油石化;银行
2024-05-21,2024-05-20,2024-06-18,19,28,-0.0581052267,-0.0355180406,-0.0650255961,-0.0225871861,0.0069203694,0.8291372478,0.9683851714,0.0009683852,true,true,0.0868992545,true,有色金属;家用电器;基础化工
2024-06-19,2024-06-18,2024-07-16,19,27,-0.0095553522,-0.0086347857,-0.0437942376,-0.0009205666,0.0342388854,0.4971148542,1.3262521020,0.0013262521,false,true,-0.0350828685,false,煤炭;银行;公用事业
2024-07-17,2024-07-16,2024-08-13,19,27,-0.0085060050,-0.0477470171,-0.0215110916,0.0392410120,0.0130050866,0.2000000000,0.4009843083,0.0004009843,false,false,-0.0360635975,false,公用事业;银行;电子
2024-08-14,2024-08-13,2024-09-10,19,27,-0.0112161279,-0.0342918616,-0.0392887651,0.0230757336,0.0280726371,0.2000000000,0.1869288122,0.0001869288,false,false,-0.1143169997,false,国防军工;公用事业;电子
2024-09-11,2024-09-10,2024-10-17,19,36,0.0435824903,0.1889722014,0.2000145669,-0.1453897111,-0.1564320766,0.2000000000,0.4000000000,0.0004000000,false,false,-0.1131414107,false,银行;综合;非银金融
2024-10-18,2024-10-17,2024-11-14,19,27,0.0981605094,0.0291422413,0.0726993680,0.0690182681,0.0254611414,0.8782463742,1.0052038426,0.0010052038,true,true,0.1145007375,true,非银金融;计算机;电力设备
2024-11-15,2024-11-14,2024-12-12,19,27,0.0436154402,0.0150346576,0.0638076744,0.0285807826,-0.0201922342,0.9000000000,0.5782463742,0.0005782464,true,true,0.2779407363,true,计算机;非银金融;房地产
2024-12-13,2024-12-12,2025-01-10,19,28,-0.1323611433,-0.0510274129,-0.1108160224,-0.0813337303,-0.0215451209,0.9000000000,0.6000000000,0.0006000000,true,true,0.3340605157,true,计算机;综合;房地产
2025-01-13,2025-01-10,2025-02-17,19,35,0.0364940208,0.0604135382,0.0816326761,-0.0239195174,-0.0451386553,0.5598415721,1.0991785576,0.0010991786,false,true,-0.0134313912,false,商贸零售;综合;纺织服饰
2025-02-18,2025-02-17,2025-03-17,19,27,0.0354918841,0.0214706679,0.0513191949,0.0140212162,-0.0158273108,0.5296689332,0.8117625710,0.0008117626,false,true,-0.0236898617,false,汽车;机械设备;综合
2025-03-18,2025-03-17,2025-04-15,19,28,-0.0705171670,-0.0615037977,-0.0678804699,-0.0090133693,-0.0026366970,0.5662970383,0.4790335581,0.0004790336,false,true,-0.0112610197,false,机械设备;电子;汽车
2025-04-16,2025-04-15,2025-05-16,19,30,-0.0033035574,0.0308177968,0.0371427598,-0.0341213541,-0.0404463172,0.2000000000,0.7662970383,0.0007662970,false,false,0.0101238189,true,农林牧渔;社会服务;食品饮料
2025-05-19,2025-05-16,2025-06-16,19,28,0.0015039054,-0.0008640367,0.0054593686,0.0023679422,-0.0039554632,0.5115417702,0.4401887239,0.0004401887,false,true,-0.0299813692,false,国防军工;美容护理;农林牧渔
2025-06-17,2025-06-16,2025-07-14,19,27,0.0215357444,0.0380556948,0.0417732915,-0.0165199504,-0.0202375471,0.4785344105,0.7675241666,0.0007675242,false,true,-0.0418067787,false,银行;医药生物;农林牧渔
2025-07-15,2025-07-14,2025-08-11,19,27,0.0304726059,0.0257398496,0.0538011080,0.0047327563,-0.0233285021,0.8325939609,0.8912685116,0.0008912685,true,true,0.0886271021,true,银行;综合;通信
2025-08-12,2025-08-11,2025-09-08,19,27,0.0988295954,0.0781257918,0.0526241150,0.0207038036,0.0462054805,0.8447545771,1.2113506725,0.0012113507,true,true,0.0949241670,true,医药生物;通信;传媒
2025-09-09,2025-09-08,2025-10-14,19,35,0.0146758891,0.0231726725,0.0075713449,-0.0084967834,0.0071045441,0.9000000000,1.1447545771,0.0011447546,true,true,0.2140629277,true,通信;综合;电子
2025-10-15,2025-10-14,2025-11-11,19,27,0.0331371554,0.0099602934,0.0190995494,0.0231768620,0.0140376060,0.9000000000,0.6000000000,0.0006000000,true,true,0.1748422725,true,通信;电子;电力设备
2025-11-12,2025-11-11,2025-12-09,19,27,0.0363291996,-0.0102649427,-0.0194602161,0.0465941423,0.0557894157,0.9000000000,0.0000000000,0.0000000000,true,true,0.1607031639,true,通信;电力设备;电子
2025-12-10,2025-12-09,2026-01-08,19,29,0.0536011389,0.0317564021,0.0498497750,0.0218447368,0.0037513639,0.7162142548,1.1585075978,0.0011585076,true,true,0.0398868244,true,有色金属;通信;煤炭
2026-01-09,2026-01-08,2026-02-05,19,27,0.0335275965,-0.0185966564,0.0071101701,0.0521242529,0.0264174264,0.7842862277,0.5958005842,0.0005958006,true,true,0.0664292385,true,通信;石油石化;有色金属
2026-02-06,2026-02-05,2026-03-13,19,35,0.0182382789,0.0055000431,0.0129136735,0.0127382359,0.0053246054,0.6720212237,0.6420303065,0.0006420303,true,true,0.0242716700,true,有色金属;国防军工;石油石化
2026-03-16,2026-03-13,2026-04-13,19,28,-0.0200828135,-0.0054392965,-0.0340347914,-0.0146435170,0.0139519779,0.7042922085,0.2004451116,0.0002004451,true,true,0.0355856069,true,石油石化;有色金属;国防军工
2026-04-14,2026-04-13,2026-05-14,19,30,0.0214820950,0.0453748766,0.0293126965,-0.0238927817,-0.0078306016,0.5965610115,0.7008532200,0.0007008532,false,true,-0.0011463577,false,石油石化;煤炭;通信
2026-05-15,2026-05-14,2026-06-02,12,18,0.0133801250,0.0113116539,-0.0369764977,0.0020684712,0.0503566227,0.8289879840,1.1361022670,0.0011361023,true,true,0.0868252220,true,通信;综合;电子
