section,name,value
summary,folds,27
summary,selection_metric,composite
summary,first_train_start,2010-01-04
summary,last_test_end,2026-03-05
test_mean,final_equity,1.0284640450
test_median,final_equity,1.0137738036
test_std,final_equity,0.1488114462
train_mean,final_equity,1.2451276119
train_median,final_equity,1.1404361575
train_std,final_equity,0.2978447246
test_mean,annualized_return,0.0809158602
test_median,annualized_return,0.0279622974
test_std,annualized_return,0.3309645041
bootstrap_ci_lower,annualized_return,-0.0339067347
bootstrap_ci_upper,annualized_return,0.2134990185
bootstrap_p_positive,annualized_return,0.9050000000
train_mean,annualized_return,0.1087892654
train_median,annualized_return,0.0680515624
train_std,annualized_return,0.1277633164
test_mean,max_drawdown,-0.1232015691
test_median,max_drawdown,-0.1106103893
test_std,max_drawdown,0.0889110555
train_mean,max_drawdown,-0.1923937855
train_median,max_drawdown,-0.1412413972
train_std,max_drawdown,0.1108994200
test_mean,sharpe_ratio,0.3080322196
test_median,sharpe_ratio,0.2405476773
test_std,sharpe_ratio,1.6057989979
train_mean,sharpe_ratio,0.5859748200
train_median,sharpe_ratio,0.5066563222
train_std,sharpe_ratio,0.5734729019
test_mean,calmar_ratio,2.0958172335
test_median,calmar_ratio,0.1975167623
test_std,calmar_ratio,4.8466870068
train_mean,calmar_ratio,0.6059407708
train_median,calmar_ratio,0.4439816799
train_std,calmar_ratio,0.7035764169
test_mean,monthly_win_rate,0.4173280423
test_median,monthly_win_rate,0.3750000000
test_std,monthly_win_rate,0.2775855974
train_mean,monthly_win_rate,0.4188603989
train_median,monthly_win_rate,0.3846153846
train_std,monthly_win_rate,0.2020315807
test_mean,max_consecutive_losing_months,1.8148148148
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.2483184849
train_mean,max_consecutive_losing_months,2.5185185185
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.9951873217
test_mean,average_turnover,0.4909611993
test_median,average_turnover,0.5571428571
test_std,average_turnover,0.2147003287
train_mean,average_turnover,0.4189444444
train_median,average_turnover,0.4269230769
train_std,average_turnover,0.1318933925
test_mean,total_transaction_cost,0.0031006173
test_median,total_transaction_cost,0.0034000000
test_std,total_transaction_cost,0.0014440205
train_mean,total_transaction_cost,0.0104611111
train_median,total_transaction_cost,0.0102500000
train_std,total_transaction_cost,0.0033035833
test_mean,equal_weight_final_equity,1.0416787024
test_median,equal_weight_final_equity,1.0400224206
test_std,equal_weight_final_equity,0.1280066800
train_mean,equal_weight_final_equity,1.1070726684
train_median,equal_weight_final_equity,1.0284015905
train_std,equal_weight_final_equity,0.2988946510
test_mean,excess_return_vs_equal_weight,-0.0099486206
test_median,excess_return_vs_equal_weight,-0.0043654365
test_std,excess_return_vs_equal_weight,0.1015042909
train_mean,excess_return_vs_equal_weight,0.1414657913
train_median,excess_return_vs_equal_weight,0.1095265652
train_std,excess_return_vs_equal_weight,0.1250706496
test_mean,benchmark_final_equity,1.0306296914
test_median,benchmark_final_equity,1.0113590964
test_std,benchmark_final_equity,0.1525300647
train_mean,benchmark_final_equity,1.0589989737
train_median,benchmark_final_equity,1.0085624343
train_std,benchmark_final_equity,0.2568048123
test_mean,excess_return_vs_benchmark,0.0044373909
test_median,excess_return_vs_benchmark,-0.0210238715
test_std,excess_return_vs_benchmark,0.1179903151
train_mean,excess_return_vs_benchmark,0.1875077761
train_median,excess_return_vs_benchmark,0.1586442430
train_std,excess_return_vs_benchmark,0.1357747676
selection_count,ret60_ret120_top3_riskoff0_riskctrl0_mscore0,3
selection_count,ret60_ret120_top3_riskoff0_riskctrl0_mscore1,3
selection_count,ret60_ret120_top3_riskoff0_riskctrl1_mscore0,3
selection_count,ret60_consistency_m_accel_top5_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_m_accel_top8_riskoff0_riskctrl0_mscore1,2
selection_count,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,2
selection_count,ret60_consistency_m_accel_top3_riskoff0_riskctrl1_mscore1,1
selection_count,ret60_consistency_m_accel_top3_riskoff0p2_riskctrl1_mscore0,1
selection_count,ret60_consistency_m_accel_top8_riskoff0_riskctrl0_mscore1,1
selection_count,ret60_consistency_top3_riskoff0_riskctrl0_mscore1,1
selection_count,ret60_consistency_top5_riskoff0_riskctrl1_mscore1,1
selection_count,ret60_m_accel_top3_riskoff0_riskctrl0_mscore0,1
selection_count,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1
selection_count,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore1,1
selection_count,ret60_ret120_top3_riskoff0p3_riskctrl0_mscore1,1
selection_count,ret60_ret120_top3_riskoff0p5_riskctrl0_mscore1,1
selection_count,ret60_ret120_top3_riskoff0p5_riskctrl1_mscore1,1
selection_count,ret60_top3_riskoff0_riskctrl0_mscore1,1
