section,name,value
summary,folds,11
summary,selection_metric,composite
summary,first_train_start,2014-02-21
summary,last_test_end,2021-12-07
test_mean,final_equity,1.0155140717
test_median,final_equity,1.0000000000
test_std,final_equity,0.0798390321
train_mean,final_equity,1.1934446245
train_median,final_equity,1.1107845396
train_std,final_equity,0.3528607187
test_mean,annualized_return,0.0380555083
test_median,annualized_return,0.0000000000
test_std,annualized_return,0.1709942412
bootstrap_ci_lower,annualized_return,-0.0521009331
bootstrap_ci_upper,annualized_return,0.1449624833
bootstrap_p_positive,annualized_return,0.7564000000
train_mean,annualized_return,0.0813808123
train_median,annualized_return,0.0540477144
train_std,annualized_return,0.1567778058
test_mean,max_drawdown,-0.0892061124
test_median,max_drawdown,-0.0846846017
test_std,max_drawdown,0.0438005199
train_mean,max_drawdown,-0.2584004243
train_median,max_drawdown,-0.1975637380
train_std,max_drawdown,0.1131448950
test_mean,sharpe_ratio,0.0377764294
test_median,sharpe_ratio,0.0000000000
test_std,sharpe_ratio,0.8472719769
train_mean,sharpe_ratio,0.2676520967
train_median,sharpe_ratio,0.3903841085
train_std,sharpe_ratio,0.7455483732
test_mean,calmar_ratio,0.3849720470
test_median,calmar_ratio,0.0000000000
test_std,calmar_ratio,1.7988540837
train_mean,calmar_ratio,0.2308411651
train_median,calmar_ratio,0.1842951021
train_std,calmar_ratio,0.6066153972
test_mean,monthly_win_rate,0.3051948052
test_median,monthly_win_rate,0.2857142857
test_std,monthly_win_rate,0.2085896832
train_mean,monthly_win_rate,0.3137062937
train_median,monthly_win_rate,0.3076923077
train_std,monthly_win_rate,0.0860350193
test_mean,max_consecutive_losing_months,1.2727272727
test_median,max_consecutive_losing_months,1.0000000000
test_std,max_consecutive_losing_months,0.8624393619
train_mean,max_consecutive_losing_months,2.9090909091
train_median,max_consecutive_losing_months,3.0000000000
train_std,max_consecutive_losing_months,0.7925270806
test_mean,average_turnover,0.5554112554
test_median,average_turnover,0.6000000000
test_std,average_turnover,0.2915371493
train_mean,average_turnover,0.5497062937
train_median,average_turnover,0.5040000000
train_std,average_turnover,0.0924924364
test_mean,total_transaction_cost,0.0035272727
test_median,total_transaction_cost,0.0042000000
test_std,total_transaction_cost,0.0018902097
train_mean,total_transaction_cost,0.0136181818
train_median,total_transaction_cost,0.0126000000
train_std,total_transaction_cost,0.0025985374
test_mean,equal_weight_final_equity,1.0339340504
test_median,equal_weight_final_equity,1.0357675025
test_std,equal_weight_final_equity,0.1327995059
train_mean,equal_weight_final_equity,1.1427096166
train_median,equal_weight_final_equity,1.0912958564
train_std,equal_weight_final_equity,0.2993634789
test_mean,excess_return_vs_equal_weight,-0.0025260607
test_median,excess_return_vs_equal_weight,-0.0212625450
test_std,excess_return_vs_equal_weight,0.1417101946
train_mean,excess_return_vs_equal_weight,0.0499164954
train_median,excess_return_vs_equal_weight,0.1079024217
train_std,excess_return_vs_equal_weight,0.1502149775
test_mean,benchmark_final_equity,1.0511168512
test_median,benchmark_final_equity,1.0727728984
test_std,benchmark_final_equity,0.1183200299
train_mean,benchmark_final_equity,1.2032091144
train_median,benchmark_final_equity,1.1511012529
train_std,benchmark_final_equity,0.1924427093
test_mean,excess_return_vs_benchmark,-0.0227288305
test_median,excess_return_vs_benchmark,-0.0533118467
test_std,excess_return_vs_benchmark,0.1245282050
train_mean,excess_return_vs_benchmark,-0.0160256652
train_median,excess_return_vs_benchmark,-0.0907839671
train_std,excess_return_vs_benchmark,0.1993785316
selection_count,rel_ret60_ret5_prosperity_top5_riskoff0,6
selection_count,rel_ret60_ret5_top5_riskoff0,5
