fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,1,true,composite,-0.0573946106,0.1221836929,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9837517487,-0.0081735482,-0.1338164929,-0.0200771818,-0.0610802754,0.0384615385,2.0000000000,0.2800000000,0.0056000000,0.8013752896,0.2275793395,0.7088902278,0.3877349555,1.0028934017,0.0058416717,-0.0442835938,0.1196932186,0.1319150320,0.1428571429,0.0000000000,0.3333333333,0.0020000000,1.0047095454,-0.0018076306,0.9538996614,0.0513615239
1,2,2,false,composite,-0.8479419582,-2.1937396036,ret60_ret5_top5_riskoff0_mthr0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.8888004040,-0.0573483517,-0.2174201956,-0.3858482478,-0.2637673632,0.0384615385,3.0000000000,0.3600000000,0.0072000000,0.8013752896,0.1090938485,0.7088902278,0.2537913053,0.9437738175,-0.1101153070,-0.1137552919,-0.8846659303,-0.9680016212,0.1428571429,2.0000000000,0.6666666667,0.0040000000,1.0047095454,-0.0606500935,0.9538996614,-0.0106152085
1,3,3,false,composite,-0.8479419582,-2.1937396036,ret60_ret5_top5_riskoff0_mthr0p02,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.020000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.8888004040,-0.0573483517,-0.2174201956,-0.3858482478,-0.2637673632,0.0384615385,3.0000000000,0.3600000000,0.0072000000,0.8013752896,0.1090938485,0.7088902278,0.2537913053,0.9437738175,-0.1101153070,-0.1137552919,-0.8846659303,-0.9680016212,0.1428571429,2.0000000000,0.6666666667,0.0040000000,1.0047095454,-0.0606500935,0.9538996614,-0.0106152085
1,4,4,false,composite,-0.8479419582,-3.4590456880,ret60_ret5_top5_riskoff0_mthrneg0p02,ret60_ret5,ret60;ret5,5,0.000000,true,true,-0.020000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.8888004040,-0.0573483517,-0.2174201956,-0.3858482478,-0.2637673632,0.0384615385,3.0000000000,0.3600000000,0.0072000000,0.8013752896,0.1090938485,0.7088902278,0.2537913053,0.8952731207,-0.1999034827,-0.1348560030,-1.5329185633,-1.4823476769,0.1428571429,2.0000000000,0.8000000000,0.0048000000,1.0047095454,-0.1089234448,0.9538996614,-0.0614598611
1,5,5,false,composite,-0.8479419582,-3.4590456880,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,-0.050000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.8888004040,-0.0573483517,-0.2174201956,-0.3858482478,-0.2637673632,0.0384615385,3.0000000000,0.3600000000,0.0072000000,0.8013752896,0.1090938485,0.7088902278,0.2537913053,0.8952731207,-0.1999034827,-0.1348560030,-1.5329185633,-1.4823476769,0.1428571429,2.0000000000,0.8000000000,0.0048000000,1.0047095454,-0.1089234448,0.9538996614,-0.0614598611
2,1,1,true,composite,-0.2553360746,12.9314693389,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.9865981377,-0.0067368559,-0.1490198070,-0.0014990571,-0.0452077881,0.0769230769,2.0000000000,0.3040000000,0.0076000000,0.9706880006,0.0163905777,0.9067331160,0.0880799656,1.1405107140,0.3035038815,-0.0298461622,2.7969798680,10.1689416331,0.4285714286,0.0000000000,0.2333333333,0.0014000000,1.0823584792,0.0537273333,1.1454855866,-0.0043430250
2,2,4,false,composite,-1.3659583729,12.9314693389,ret60_ret5_top5_riskoff0_mthr0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8388265503,-0.0842852462,-0.2764786873,-0.5367837985,-0.3048525983,0.0769230769,3.0000000000,0.4480000000,0.0112000000,0.9706880006,-0.1358432887,0.9067331160,-0.0748914586,1.1405107140,0.3035038815,-0.0298461622,2.7969798680,10.1689416331,0.4285714286,0.0000000000,0.2333333333,0.0014000000,1.0823584792,0.0537273333,1.1454855866,-0.0043430250
2,3,5,false,composite,-1.3659583729,12.9314693389,ret60_ret5_top5_riskoff0_mthr0p02,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.020000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8388265503,-0.0842852462,-0.2764786873,-0.5367837985,-0.3048525983,0.0769230769,3.0000000000,0.4480000000,0.0112000000,0.9706880006,-0.1358432887,0.9067331160,-0.0748914586,1.1405107140,0.3035038815,-0.0298461622,2.7969798680,10.1689416331,0.4285714286,0.0000000000,0.2333333333,0.0014000000,1.0823584792,0.0537273333,1.1454855866,-0.0043430250
2,4,2,false,composite,-1.6609852630,12.9314693389,ret60_ret5_top5_riskoff0_mthrneg0p02,ret60_ret5,ret60;ret5,5,0.000000,true,true,-0.020000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.7957191114,-0.1081717069,-0.2937050967,-0.6987273097,-0.3683004078,0.0769230769,3.0000000000,0.4800000000,0.0120000000,0.9706880006,-0.1802524489,0.9067331160,-0.1224329437,1.1405107140,0.3035038815,-0.0298461622,2.7969798680,10.1689416331,0.4285714286,0.0000000000,0.2333333333,0.0014000000,1.0823584792,0.0537273333,1.1454855866,-0.0043430250
2,5,3,false,composite,-1.6609852630,12.9314693389,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,-0.050000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.7957191114,-0.1081717069,-0.2937050967,-0.6987273097,-0.3683004078,0.0769230769,3.0000000000,0.4800000000,0.0120000000,0.9706880006,-0.1802524489,0.9067331160,-0.1224329437,1.1405107140,0.3035038815,-0.0298461622,2.7969798680,10.1689416331,0.4285714286,0.0000000000,0.2333333333,0.0014000000,1.0823584792,0.0537273333,1.1454855866,-0.0043430250
