fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,1,true,composite,-0.6685614128,-3.2647801424,ret60_ret5_top3_riskoff0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9163350634,-0.0428292180,-0.1940949964,-0.2922584085,-0.2206611131,0.0769230769,3.0000000000,0.4200000000,0.0084000000,0.8013752896,0.1434531053,0.7088902278,0.2926332279,0.9048928506,-0.1824772097,-0.1285939195,-1.4178184578,-1.4190189581,0.1428571429,2.0000000000,0.8000000000,0.0048000000,1.0047095454,-0.0993488071,0.9538996614,-0.0513752261
1,2,2,false,composite,-0.8479419582,-3.4590456880,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.8888004040,-0.0573483517,-0.2174201956,-0.3858482478,-0.2637673632,0.0384615385,3.0000000000,0.3600000000,0.0072000000,0.8013752896,0.1090938485,0.7088902278,0.2537913053,0.8952731207,-0.1999034827,-0.1348560030,-1.5329185633,-1.4823476769,0.1428571429,2.0000000000,0.8000000000,0.0048000000,1.0047095454,-0.1089234448,0.9538996614,-0.0614598611
2,1,2,true,composite,-1.4813595416,10.8546115456,ret60_ret5_top3_riskoff0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8291850477,-0.0895735476,-0.2503347268,-0.5954337687,-0.3578151091,0.1153846154,3.0000000000,0.5280000000,0.0132000000,0.9706880006,-0.1457759371,0.9067331160,-0.0855246896,1.1206880614,0.2582335084,-0.0304085735,2.4199787832,8.4921283162,0.4285714286,0.0000000000,0.2500000000,0.0015000000,1.0823584792,0.0354130197,1.1454855866,-0.0216480464
2,2,1,false,composite,-1.6609852630,12.9314693389,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.7957191114,-0.1081717069,-0.2937050967,-0.6987273097,-0.3683004078,0.0769230769,3.0000000000,0.4800000000,0.0120000000,0.9706880006,-0.1802524489,0.9067331160,-0.1224329437,1.1405107140,0.3035038815,-0.0298461622,2.7969798680,10.1689416331,0.4285714286,0.0000000000,0.2333333333,0.0014000000,1.0823584792,0.0537273333,1.1454855866,-0.0043430250
3,1,1,true,composite,-0.0158937656,-2.0030884252,ret60_ret5_top3_riskoff0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,0.9998197644,-0.0000903010,-0.1442937143,0.0534619749,-0.0006258140,0.1923076923,3.0000000000,0.4080000000,0.0102000000,0.8490578385,0.1775637879,0.9193390761,0.0875418987,0.9314009733,-0.1334780631,-0.1378864222,-0.6979517083,-0.9680290555,0.1428571429,3.0000000000,0.5571428571,0.0039000000,0.9907841408,-0.0599355249,0.8515495548,0.0937718985
3,2,2,false,composite,-0.3470780276,-2.4052891169,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,0.9653823728,-0.0174956702,-0.1770332875,-0.1042219839,-0.0988270085,0.1923076923,3.0000000000,0.4160000000,0.0104000000,0.8490578385,0.1370042523,0.9193390761,0.0500830411,0.9072994785,-0.1780879776,-0.1639914804,-0.9067920038,-1.0859587167,0.2857142857,2.0000000000,0.6571428571,0.0046000000,0.9907841408,-0.0842612017,0.8515495548,0.0654687955
4,1,1,true,composite,-0.6146439974,-1.6994498945,ret60_ret5_top3_riskoff0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,0.9248697535,-0.0383731715,-0.1378864222,-0.2529188087,-0.2782955049,0.1538461538,3.0000000000,0.3923076923,0.0102000000,0.8024665868,0.1525336615,0.7680008866,0.2042561014,0.9585565040,-0.0817914761,-0.1010404781,-0.6046605630,-0.8094921722,0.1250000000,2.0000000000,0.6000000000,0.0036000000,0.9925582557,-0.0342566812,0.9306436835,0.0299930263
4,2,2,false,composite,-0.7401621985,-2.1940157051,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,0.9068456112,-0.0478081402,-0.1639914804,-0.3108691052,-0.2915281948,0.1538461538,3.0000000000,0.4153846154,0.0108000000,0.8024665868,0.1300727358,0.7680008866,0.1807871931,0.9419624711,-0.1135551153,-0.1099724653,-0.8338237448,-1.0325776998,0.1250000000,2.0000000000,0.6666666667,0.0040000000,0.9925582557,-0.0509751285,0.9306436835,0.0121623214
5,1,2,true,composite,-1.1774494521,2.4731486174,ret60_ret5_top3_riskoff0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,0.8865399176,-0.0585502212,-0.1789609552,-0.3625550386,-0.3271675718,0.1923076923,3.0000000000,0.5520000000,0.0138000000,1.0691069061,-0.1707658864,0.8679521786,0.0214156256,1.0209235804,0.0426303472,-0.0263151200,1.0300330849,1.6199944019,0.1428571429,1.0000000000,0.1500000000,0.0009000000,1.1510675988,-0.1130637493,1.1189193676,-0.0875807409
5,2,1,false,composite,-1.3900309963,3.4017881086,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,0.8542145328,-0.0759074840,-0.2055458530,-0.4661862967,-0.3692970833,0.1923076923,3.0000000000,0.5920000000,0.0148000000,1.0691069061,-0.2010017633,0.8679521786,-0.0158276529,1.0296864504,0.0607505748,-0.0275185027,1.3687977479,2.2076264598,0.1428571429,1.0000000000,0.1666666667,0.0010000000,1.1510675988,-0.1054509297,1.1189193676,-0.0797491936
