section,name,value
summary,folds,4
summary,first_train_start,2021-12-13
summary,last_test_end,2026-02-24
test_mean,final_equity,1.0574460134
test_median,final_equity,0.9910204126
train_mean,final_equity,1.0016479829
train_median,final_equity,0.9804190286
test_mean,annualized_return,0.1412974895
test_median,annualized_return,-0.0178089880
train_mean,annualized_return,0.0005913747
train_median,annualized_return,-0.0098619402
test_mean,max_drawdown,-0.1149110673
test_median,max_drawdown,-0.0980072664
train_mean,max_drawdown,-0.1433616452
train_median,max_drawdown,-0.1239920488
test_mean,sharpe_ratio,0.3723703779
test_median,sharpe_ratio,-0.1049431354
train_mean,sharpe_ratio,0.0568123002
train_median,sharpe_ratio,-0.0230323272
test_mean,calmar_ratio,1.7781979789
test_median,calmar_ratio,-0.2015363665
train_mean,calmar_ratio,-0.0095203810
train_median,calmar_ratio,-0.0643316538
test_mean,monthly_win_rate,0.4196428571
test_median,monthly_win_rate,0.3571428571
train_mean,monthly_win_rate,0.2226923077
train_median,monthly_win_rate,0.1953846154
test_mean,max_consecutive_losing_months,2.0000000000
test_median,max_consecutive_losing_months,2.0000000000
train_mean,max_consecutive_losing_months,2.7500000000
train_median,max_consecutive_losing_months,2.5000000000
test_mean,average_turnover,0.6583333333
test_median,average_turnover,0.6500000000
train_mean,average_turnover,0.4322307692
train_median,average_turnover,0.3564615385
test_mean,total_transaction_cost,0.0041250000
test_median,total_transaction_cost,0.0040000000
train_mean,total_transaction_cost,0.0106000000
train_median,total_transaction_cost,0.0091000000
test_mean,equal_weight_final_equity,1.1037932176
test_median,equal_weight_final_equity,1.1345319081
train_mean,equal_weight_final_equity,0.8904112450
train_median,equal_weight_final_equity,0.8662387692
test_mean,excess_return_vs_equal_weight,-0.0337969245
test_median,excess_return_vs_equal_weight,-0.0150689128
train_mean,excess_return_vs_equal_weight,0.1492395303
train_median,excess_return_vs_equal_weight,0.1458633958
test_mean,benchmark_final_equity,1.0968712875
test_median,benchmark_final_equity,1.0971308758
train_mean,benchmark_final_equity,0.8647828482
train_median,benchmark_final_equity,0.8805975423
test_mean,excess_return_vs_benchmark,-0.0356191836
test_median,excess_return_vs_benchmark,-0.0573117107
train_mean,excess_return_vs_benchmark,0.2036518999
train_median,excess_return_vs_benchmark,0.1448154718
selection_count,all_factors_top3_riskoff0,1
selection_count,ret60_ret120_ret5_top3_riskoff0,1
selection_count,ret60_ret5_top5_riskoff0,1
selection_count,ret60_ret5_top5_riskoff0p5,1
