section,name,value
summary,folds,10
summary,first_train_start,2021-12-13
summary,last_test_end,2026-06-02
test_mean,final_equity,1.0272452452
test_median,final_equity,1.0140819390
train_mean,final_equity,1.1191024142
train_median,final_equity,1.0185871085
test_mean,annualized_return,0.1850411281
test_median,annualized_return,0.1360539061
train_mean,annualized_return,0.0540649514
train_median,annualized_return,0.0092630312
test_mean,max_drawdown,-0.0738647875
test_median,max_drawdown,-0.0690407883
train_mean,max_drawdown,-0.1675427146
train_median,max_drawdown,-0.1642166589
test_mean,sharpe_ratio,0.8744446916
test_median,sharpe_ratio,1.1996347050
train_mean,sharpe_ratio,0.3201586674
train_median,sharpe_ratio,0.1353862957
test_mean,calmar_ratio,7.8148090947
test_median,calmar_ratio,4.0452722325
train_mean,calmar_ratio,0.2480453235
train_median,calmar_ratio,0.0555464117
test_mean,monthly_win_rate,0.4950000000
test_median,monthly_win_rate,0.5000000000
train_mean,monthly_win_rate,0.3142905983
train_median,monthly_win_rate,0.2884615385
test_mean,max_consecutive_losing_months,1.1000000000
test_median,max_consecutive_losing_months,1.0000000000
train_mean,max_consecutive_losing_months,2.9000000000
train_median,max_consecutive_losing_months,2.5000000000
test_mean,average_turnover,0.5983333333
test_median,average_turnover,0.6666666667
train_mean,average_turnover,0.4868374582
train_median,average_turnover,0.3884615385
test_mean,total_transaction_cost,0.0018400000
test_median,total_transaction_cost,0.0020000000
train_mean,total_transaction_cost,0.0120700000
train_median,total_transaction_cost,0.0099000000
test_mean,equal_weight_final_equity,1.0335610573
test_median,equal_weight_final_equity,1.0131766867
train_mean,equal_weight_final_equity,1.0488807002
train_median,equal_weight_final_equity,1.0032406146
test_mean,excess_return_vs_equal_weight,-0.0026559335
test_median,excess_return_vs_equal_weight,0.0079421435
train_mean,excess_return_vs_equal_weight,0.0850955595
train_median,excess_return_vs_equal_weight,0.0200648185
test_mean,benchmark_final_equity,1.0409016884
test_median,benchmark_final_equity,1.0340786623
train_mean,benchmark_final_equity,1.0398885297
train_median,benchmark_final_equity,1.0164081927
test_mean,excess_return_vs_benchmark,-0.0117798868
test_median,excess_return_vs_benchmark,-0.0093486821
train_mean,excess_return_vs_benchmark,0.1066715572
train_median,excess_return_vs_benchmark,0.0331076593
selection_count,all_factors_top3_riskoff0,2
selection_count,ret60_ret5_top5_riskoff0,2
selection_count,ret60_ret5_top5_riskoff0p5,2
selection_count,ret60_top5_riskoff0p5,2
selection_count,ret60_ret120_ret5_top3_riskoff0,1
selection_count,ret60_top5_riskoff0,1
