section,name,value
summary,folds,4
summary,selection_metric,sharpe_plus_calmar
summary,first_train_start,2021-12-13
summary,last_test_end,2026-02-24
test_mean,final_equity,1.0960756272
test_median,final_equity,1.0375942153
test_std,final_equity,0.1245530550
train_mean,final_equity,0.9920457531
train_median,final_equity,0.9687094183
train_std,final_equity,0.0493113062
test_mean,annualized_return,0.2190671279
test_median,annualized_return,0.0777545921
test_std,annualized_return,0.2924508439
train_mean,annualized_return,-0.0042926800
train_median,annualized_return,-0.0158007473
train_std,annualized_return,0.0244813100
test_mean,max_drawdown,-0.0801251010
test_median,max_drawdown,-0.0791434931
test_std,max_drawdown,0.0493595418
train_mean,max_drawdown,-0.1277859248
train_median,max_drawdown,-0.1277859248
train_std,max_drawdown,0.0225686287
test_mean,sharpe_ratio,1.4084364934
test_median,sharpe_ratio,1.2963745170
test_std,sharpe_ratio,1.2072599867
train_mean,sharpe_ratio,-0.0200677491
train_median,sharpe_ratio,-0.0949991808
train_std,sharpe_ratio,0.2508298369
test_mean,calmar_ratio,4.7891679197
test_median,calmar_ratio,4.3134725053
test_std,calmar_ratio,4.6426871713
train_mean,calmar_ratio,-0.0565882132
train_median,calmar_ratio,-0.1278655437
train_std,calmar_ratio,0.1825931892
test_mean,monthly_win_rate,0.3839285714
test_median,monthly_win_rate,0.2857142857
test_std,monthly_win_rate,0.1912882615
train_mean,monthly_win_rate,0.1746153846
train_median,monthly_win_rate,0.1953846154
train_std,monthly_win_rate,0.0633717313
test_mean,max_consecutive_losing_months,1.2500000000
test_median,max_consecutive_losing_months,1.5000000000
test_std,max_consecutive_losing_months,0.8291561976
train_mean,max_consecutive_losing_months,2.0000000000
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.0000000000
test_mean,average_turnover,0.5809523810
test_median,average_turnover,0.6666666667
test_std,average_turnover,0.1889222326
train_mean,average_turnover,0.3572307692
train_median,average_turnover,0.3564615385
train_std,average_turnover,0.0986505398
test_mean,total_transaction_cost,0.0035500000
test_median,total_transaction_cost,0.0040000000
test_std,total_transaction_cost,0.0010234745
train_mean,total_transaction_cost,0.0087500000
train_median,total_transaction_cost,0.0091000000
train_std,total_transaction_cost,0.0028926631
test_mean,equal_weight_final_equity,1.1037932176
test_median,equal_weight_final_equity,1.1345319081
test_std,equal_weight_final_equity,0.1162364525
train_mean,equal_weight_final_equity,0.8904112450
train_median,equal_weight_final_equity,0.8662387692
train_std,equal_weight_final_equity,0.1450788740
test_mean,excess_return_vs_equal_weight,0.0014625655
test_median,excess_return_vs_equal_weight,0.0305035272
test_std,excess_return_vs_equal_weight,0.1283859415
train_mean,excess_return_vs_equal_weight,0.1369442460
train_median,excess_return_vs_equal_weight,0.1319383644
train_std,excess_return_vs_equal_weight,0.1452824567
test_mean,benchmark_final_equity,1.0968712875
test_median,benchmark_final_equity,1.0971308758
test_std,benchmark_final_equity,0.0481854237
train_mean,benchmark_final_equity,0.8647828482
train_median,benchmark_final_equity,0.8805975423
train_std,benchmark_final_equity,0.1745972595
test_mean,excess_return_vs_benchmark,-0.0002695871
test_median,excess_return_vs_benchmark,-0.0131157903
test_std,excess_return_vs_benchmark,0.1057417304
train_mean,excess_return_vs_benchmark,0.1894500242
train_median,excess_return_vs_benchmark,0.1444514367
train_std,excess_return_vs_benchmark,0.2153962182
selection_count,ret60_ret5_top5_riskoff0,4
