section,name,value
summary,folds,27
summary,selection_metric,composite
summary,first_train_start,2010-01-04
summary,last_test_end,2026-03-05
test_mean,final_equity,1.0348764287
test_median,final_equity,1.0000000000
test_std,final_equity,0.1392033265
train_mean,final_equity,1.2029038059
train_median,final_equity,1.1268566958
train_std,final_equity,0.2677449846
test_mean,annualized_return,0.0914295852
test_median,annualized_return,0.0000000000
test_std,annualized_return,0.3179207940
bootstrap_ci_lower,annualized_return,-0.0177395904
bootstrap_ci_upper,annualized_return,0.2194892383
bootstrap_p_positive,annualized_return,0.9433000000
train_mean,annualized_return,0.0908084299
train_median,annualized_return,0.0616610984
train_std,annualized_return,0.1163532534
test_mean,max_drawdown,-0.1049162219
test_median,max_drawdown,-0.0892923273
test_std,max_drawdown,0.0744793376
train_mean,max_drawdown,-0.1830100157
train_median,max_drawdown,-0.1444189157
train_std,max_drawdown,0.1049639161
test_mean,sharpe_ratio,0.2840200182
test_median,sharpe_ratio,0.0000000000
test_std,sharpe_ratio,1.6177470895
train_mean,sharpe_ratio,0.4890103574
train_median,sharpe_ratio,0.4711481597
train_std,sharpe_ratio,0.5851220662
test_mean,calmar_ratio,1.9045678036
test_median,calmar_ratio,0.0000000000
test_std,calmar_ratio,4.6748045837
train_mean,calmar_ratio,0.4892803061
train_median,calmar_ratio,0.2987813511
train_std,calmar_ratio,0.6739424528
test_mean,monthly_win_rate,0.4239417989
test_median,monthly_win_rate,0.3750000000
test_std,monthly_win_rate,0.2991465797
train_mean,monthly_win_rate,0.4131054131
train_median,monthly_win_rate,0.3846153846
train_std,monthly_win_rate,0.2095783816
test_mean,max_consecutive_losing_months,1.9629629630
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.4005681779
train_mean,max_consecutive_losing_months,2.5555555556
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.8748897638
test_mean,average_turnover,0.4651528513
test_median,average_turnover,0.5000000000
test_std,average_turnover,0.2181155041
train_mean,average_turnover,0.4040011871
train_median,average_turnover,0.3600000000
train_std,average_turnover,0.1445398992
test_mean,total_transaction_cost,0.0029438272
test_median,total_transaction_cost,0.0030000000
test_std,total_transaction_cost,0.0014620237
train_mean,total_transaction_cost,0.0100941358
train_median,total_transaction_cost,0.0090000000
train_std,total_transaction_cost,0.0036288920
test_mean,equal_weight_final_equity,1.0416787024
test_median,equal_weight_final_equity,1.0400224206
test_std,equal_weight_final_equity,0.1280066800
train_mean,equal_weight_final_equity,1.1070726684
train_median,equal_weight_final_equity,1.0284015905
train_std,equal_weight_final_equity,0.2988946510
test_mean,excess_return_vs_equal_weight,-0.0029043127
test_median,excess_return_vs_equal_weight,-0.0066616947
test_std,excess_return_vs_equal_weight,0.0952668106
train_mean,excess_return_vs_equal_weight,0.1084835851
train_median,excess_return_vs_equal_weight,0.0685978655
train_std,excess_return_vs_equal_weight,0.1356305382
test_mean,benchmark_final_equity,1.0306296914
test_median,benchmark_final_equity,1.0113590964
test_std,benchmark_final_equity,0.1525300647
train_mean,benchmark_final_equity,1.0589989737
train_median,benchmark_final_equity,1.0085624343
train_std,benchmark_final_equity,0.2568048123
test_mean,excess_return_vs_benchmark,0.0108631466
test_median,excess_return_vs_benchmark,-0.0109655630
test_std,excess_return_vs_benchmark,0.1053407527
train_mean,excess_return_vs_benchmark,0.1525905839
train_median,excess_return_vs_benchmark,0.1577094814
train_std,excess_return_vs_benchmark,0.1400059332
selection_count,ret60_ret120_top3_riskoff0p5_riskctrl1_mscore0,4
selection_count,ret60_ret120_top3_riskoff0_riskctrl1_mscore0,3
selection_count,ret60_ret120_top3_riskoff0_riskctrl1_mscore1,3
selection_count,ret60_ret120_top3_riskoff0p5_riskctrl1_mscore1,3
selection_count,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_ret5_top8_riskoff0_riskctrl1_mscore1,2
selection_count,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1
selection_count,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore1,1
selection_count,ret60_ret120_ret5_top8_riskoff0_riskctrl1_mscore1,1
selection_count,ret60_ret120_top8_riskoff0_riskctrl1_mscore0,1
selection_count,ret60_ret120_top8_riskoff0p5_riskctrl1_mscore0,1
selection_count,ret60_ret120_top8_riskoff0p5_riskctrl1_mscore1,1
selection_count,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,1
selection_count,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,1
selection_count,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore0,1
selection_count,ret60_top3_riskoff0_riskctrl1_mscore1,1
