date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2022-06-24,2022-06-23,,,0.000000,0.000000,0.00000000,false,,true,false
2022-07-22,2022-07-21,,,0.000000,0.000000,0.00000000,false,,true,false
2022-08-19,2022-08-18,,,0.000000,0.000000,0.00000000,false,,true,false
2022-09-19,2022-09-16,,,0.000000,0.000000,0.00000000,false,,true,false
2022-10-24,2022-10-21,,,0.000000,0.000000,0.00000000,false,,true,false
2022-11-21,2022-11-18,,,0.000000,0.000000,0.00000000,false,,true,false
2022-12-19,2022-12-16,,,0.000000,0.000000,0.00000000,false,,true,false
2023-01-17,2023-01-16,社会服务;传媒;轻工制造,002159:0.0333;000721:0.0333;000526:0.0333;000430:0.0333;002033:0.0333;002059:0.0333;000888:0.0333;000978:0.0333;000796:0.0333;000524:0.0333;000607:0.0333;000793:0.0333;000719:0.0333;000802:0.0333;000665:0.0333;000917:0.0333;000892:0.0333;002027:0.0333;000681:0.0333;000676:0.0333;000812:0.0333;000910:0.0333;002067:0.0333;001216:0.0333;002012:0.0333;000659:0.0333;001211:0.0333;002078:0.0333;002084:0.0333;002014:0.0333,1.000000,1.000000,0.00100000,true,,true,true
2023-02-21,2023-02-20,传媒;食品饮料;计算机,000676:0.0333;000681:0.0333;000917:0.0333;000793:0.0333;000607:0.0333;000719:0.0333;000665:0.0333;000892:0.0333;002027:0.0333;000802:0.0333;000729:0.0333;000752:0.0333;000869:0.0333;000860:0.0333;000895:0.0333;000799:0.0333;000858:0.0333;000848:0.0333;000596:0.0333;000929:0.0333;000977:0.0333;000158:0.0333;000034:0.0333;000997:0.0333;000066:0.0333;000938:0.0333;002063:0.0333;000555:0.0333;000503:0.0333;000948:0.0333,1.000000,1.333333,0.00133333,true,,true,true
2023-03-21,2023-03-20,计算机;通信;传媒,000158:0.0333;000938:0.0333;002063:0.0333;000034:0.0333;000977:0.0333;000066:0.0333;000555:0.0333;000997:0.0333;000503:0.0333;000948:0.0333;002115:0.0333;002281:0.0333;002194:0.0333;000070:0.0333;002296:0.0333;002104:0.0333;002017:0.0333;002123:0.0333;000586:0.0333;000889:0.0333;000892:0.0333;000676:0.0333;000719:0.0333;000917:0.0333;002027:0.0333;000681:0.0333;000802:0.0333;000665:0.0333;000607:0.0333;000793:0.0333,1.000000,0.666667,0.00066667,true,,true,true
2023-04-19,2023-04-18,传媒;计算机;通信,000802:0.0333;000719:0.0333;000892:0.0333;002027:0.0333;000917:0.0333;000676:0.0333;000681:0.0333;000793:0.0333;000665:0.0333;000607:0.0333;000158:0.0333;000503:0.0333;000977:0.0333;000555:0.0333;000938:0.0333;002063:0.0333;000034:0.0333;000997:0.0333;000066:0.0333;000948:0.0333;000586:0.0333;002123:0.0333;002281:0.0333;000070:0.0333;002194:0.0333;002115:0.0333;000889:0.0333;002017:0.0333;002104:0.0333;002296:0.0333,1.000000,0.000000,0.00000000,true,,true,true
2023-05-22,2023-05-19,,,0.000000,1.000000,0.00100000,false,,true,false
2023-06-19,2023-06-16,,,0.000000,0.000000,0.00000000,false,,true,false
2023-07-19,2023-07-18,,,0.000000,0.000000,0.00000000,false,,true,false
